CarParkID,CarParkName,SpaceType,NumberOfSpaces,AvailableSpaces,ServiceStatus,FullStatus,ChargeStatus,DataCollectTime
22763918+15001,花蓮市三民停車場,1,50,38,1,0,1,2022-03-25T18:27:12+08:00
28984733+15002,花蓮遠東百貨停車場,1,929,462,1,0,1,2022-03-25T18:27:12+08:00
80118614+15003,財團法人佛教慈濟綜合醫院花蓮院區附設停車場,1,300,99,1,0,1,2022-03-25T18:27:12+08:00
53297327+15004,仁里立體停車場,1,183,3,1,0,1,2022-03-25T18:27:12+08:00
53599694+15005,花蓮文化創意產業園區停車場,1,0,0,1,0,1,2022-03-25T18:27:12+08:00
10614013+15006,多功能停車場,1,42,13,1,0,1,2022-03-25T18:27:12+08:00
85051937+15007,中山明智停車場,1,0,0,1,0,1,2022-03-25T18:27:12+08:00
80118614+15008,永發停車場-東洋站,1,235,177,1,0,1,2022-03-25T18:27:12+08:00
58019180+15009,明心停車場,1,80,41,1,0,1,2022-03-25T18:27:12+08:00
58019180+15010,仁愛停車場,1,134,53,1,0,1,2022-03-25T18:27:12+08:00
82182231+15011,花蓮市 PP 停車場,1,62,52,1,0,1,2022-03-25T18:27:12+08:00
37993678+15012,彪吉利(花蓮停三)汽(紅黃牌重機)停車場,1,93,29,1,0,1,2022-03-25T18:27:12+08:00
80118614+15013,成佳財停車場,1,210,169,1,0,1,2022-03-25T18:27:12+08:00
97329493+15014,東大門一二場,1,330,307,1,0,1,2022-03-25T18:27:12+08:00
52882567+15015,新港街停車場,1,27,3,1,0,1,2022-03-25T18:27:12+08:00
13124285+15017,明禮路停車場,1,106,0,1,0,1,2022-03-25T18:27:12+08:00
37993678+15018,彪吉利停車場(國聯五路站),1,40,28,1,0,1,2022-03-25T18:27:12+08:00
37993678+15019,前站停車場(檳榔攤),1,46,31,1,0,1,2022-03-25T18:27:12+08:00
80118614+15020,後火車站機車停車場,1,340,7,1,0,1,2022-03-25T18:27:12+08:00
37993678+15021,彪吉利(花蓮停四)機車停車場,1,495,222,1,0,1,2022-03-25T18:27:12+08:00
80738683+15022,花蓮醫院停車場(有3層樓),1,50,35,1,0,1,2022-03-25T18:27:12+08:00
94607424+15023,財團法人臺灣基督教門諾會醫院(00:30~06:30非營業時間),1,235,156,1,0,1,2022-03-25T18:27:12+08:00
42958475+15024,建程停車場,1,121,66,1,0,1,2022-03-25T18:27:12+08:00
87344137+15025,停好車停車場,1,37,30,1,0,1,2022-03-25T18:27:12+08:00
85056975+15026,東芥東大門停車場,1,161,153,1,0,1,2022-03-25T18:27:12+08:00
97329493+15028,東大門三場,1,83,83,1,0,1,2022-03-25T18:27:12+08:00
90831316+15030,統冠重慶站停車場,1,49,10,1,0,1,2022-03-25T18:27:12+08:00
