CarParkID,CarParkName,CarParkRegNo,OperatorID,Description,CarParkType,ParkingGuideType,ParkingTypes,ParkingSiteTypes,ChargeTypes,Telephone,EmergencyPhone,PositionLat,PositionLon,Email,Address,WebURL,SpecialOfferDescription,IsFreeParkingOutOfHours,VehicleRestriction,IsPublic,OperationType,LiveOccuppancyAvailable,EVRechargingAvailable,MonthlyTicketAvailable,SeasonTicketAvailable,ReservationAvailable,WheelchairAccessible,OvernightPermitted,TicketMachine,Toilet,Restaurant,Gas,Station,Shop,Gated,Lighting,SecureParking,TicketOffice,ProhibitedForAnyHazardousMaterialLoads,SecurityGuard,Supervision,LandMark,BuildingName,City,CityCode,FareDescription
A00013,明禮路停車場,花縣停車場108登字第001號,HUA13124285,小型車106格,1,1,[4],[4],[1; 3],02-2767-7669#210,None,23.97889,121.61102,traffic517@gmail.com,花蓮市明禮路7-1號,None,None,0,None,0,3,0,0,1,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,小型車：每一小時20元。 月租方式：小型車1,350元/月。
A00006,福廣明心停車場,花縣停車場107登字第009號,HUA58019180,平面式小型車80格,1,1,[4],[5; 19; 20; 23],[1; 3],0912037870,0912037870,23.98523,121.60582,fu58019180@gmail.com,明心街,None,None,0,None,1,1,0,0,1,1,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,10元/30分鐘，當日最高120元。
A00048,博客停車場寶雅吉安場,None,HUA70393302,平面式小型車18格,1,1,[254],[4; 16],[1],(02)29488889,None,23.97269,121.57974,ctp258@ms46.hinet.net,花蓮縣吉安鄉中山路二段217號,None,None,0,,0,3,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,寶雅,None,HualienCounty,HUA,計時: 平假日20元/時
A00029,多功能停車場,花縣停車場109登字第007號,HUA10614013,小型車42格,1,1,[1],[1],[1; 3],038462011,,23.99344,121.5994,8462011@gmail.com,花蓮縣花蓮市富裕二街29號隔壁,None,None,0,None,0,3,0,0,0,0,0,1,1,1,0,0,None,None,0,1,1,1,0,0,1,1,花蓮後火車站,艾咪兔一旅行社隔壁,HualienCounty,HUA,計時:20元/時,10元/30分鐘,150元/每日最高收費,1500元/月租
A00047,168停車聯盟花蓮東大門場,花縣停車場109登字第023號,HUA97329493,平面式：小型車413位,1,1,[5; 254],[21],[3; 1],(02)27546661,0980-902405,23.97284,121.6131,yahu66@hl.gov.tw,花蓮市北濱路,None,None,0,None,1,1,0,0,0,0,0,1,1,1,0,0,None,None,0,0,1,0,0,0,0,0,None,None,HualienCounty,HUA,平日(星期一至星期四)每小時80元; 假日及連續假期前一日(星期五至星期日每小時100元，月租5,000元/月
A00050,國富二街停車場,None,HUA83491663,平面式停車場共計7格,1,1,[254],[254],[3; 254],(03)8576111,0933-666911,23.9908,121.59436,hl359191@gmail.com,花蓮市國富二街136號旁,None,None,0,None,0,3,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,月繳$2500/月、季繳$2200/月、年繳$2000/月
A00008,成佳財停車場-慈濟醫院對面,花縣停車場110登字第012號,HUA80118614,自小客車車格210  機車204,1,1,[2],[254],[1; 254],0986810557,None,23.9945,121.59333,abc835901@yahoo.com.tw,中央路三段862號,None,None,0,None,1,1,0,0,1,0,0,0,1,1,0,0,None,None,0,1,1,1,0,0,1,1,None,None,HualienCounty,HUA,自小客車20元/時 ; 月租1500元  ; 機車每日20元
A00028,遠雄海洋公園(股)公司,花縣停車場109登字第006號,HUA25019060,小型車732格/身心障礙15格,1,1,[254],[254],[2],03-8123100*2237,03-8123100*2202,23.84551,121.53532,D0376@farglory-oceanpark.com.tw,花蓮縣壽豐鄉鹽寮村福德189號,None,None,0,None,0,3,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,None,None,HualienCounty,HUA,機車30元,小型車100元採計次收費
A00049,花蓮市公園三民站,None,HUA27579258,車牌辨識現金繳費,1,1,[254; 2],[4; 20; 19; 22; 254; 8],[1],02-7738-1328,0926696187,23.97752,121.61151,fc.fucheng@gmail.com,花蓮縣花蓮市公園路7之1號旁空地,None,None,0,None,0,3,0,0,0,0,0,0,0,0,0,0,None,None,0,0,0,0,0,0,0,0,原統帥飯店對面,,HualienCounty,HUA,計時:40元/小時;入場12小時最高收費，平日:120元，假日:160元
A00021,壽豐停1停車場,花縣停車場108登字第011號,HUA53601523,高架橋下平面停車場,1,1,[2; 1; 4],[1; 4; 5; 8; 20],[1; 3],0968201620,None,23.86902,121.51064,nobel.jwu@gmail.com,壽山路1號,None,None,0,None,1,1,0,0,1,1,0,1,1,1,1,1,None,None,1,1,1,1,0,0,0,1,壽豐火車站,None,HualienCounty,HUA,計時:20/小時,24小時上限60
