CarParkID,CarParkName,EntranceExitType,Entrances,Exits,EntranceExits
A00031,{'Zh_tw': ' 東芥東大門停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '重慶路出入口'}, 'Position': {'PositionLat': 23.97289, 'PositionLon': 121.6097}, 'Type': 1, 'RoadID': '', 'RoadName': '重慶路', 'LinkID': '', 'Bearing': 'NE'}]"
A00017,{'Zh_tw': '台灣國際開發事業有限公司花蓮醫院停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '花蓮醫院停車場'}, 'Position': {'PositionLat': 23.97948, 'PositionLon': 121.6112}, 'Type': 1, 'MaxAllowedWidth': 300.0, 'MaxAllowedHeight': 280.0, 'RoadID': '', 'RoadName': '中正路', 'LinkID': '', 'Bearing': 'SW'}]"
A00024,{'Zh_tw': '彪吉利(花蓮停四)機車停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '(停四)停車場出入口'}, 'Position': {'PositionLat': 23.99226, 'PositionLon': 121.60194}, 'Type': 1, 'RoadID': '', 'RoadName': '無名', 'LinkID': '', 'Bearing': 'SW'}]"
A00050,{'Zh_tw': '國富二街停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '花蓮市國富二街'}, 'Position': {'PositionLat': 23.99083, 'PositionLon': 121.59408}, 'Type': 1, 'MaxAllowedWidth': 755.0, 'RoadID': '', 'RoadName': '國富二街', 'LinkID': '', 'Bearing': 'NW'}]"
A00009,{'Zh_tw': '遠東百貨股份有限公司花蓮和平分公司'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '建林街'}, 'Position': {'PositionLat': 23.97912, 'PositionLon': 121.59876}, 'Type': 1, 'MaxAllowedHeight': 200.0, 'RoadID': '', 'RoadName': '建林街', 'LinkID': '', 'Bearing': 'NE'}]"
A00008,{'Zh_tw': '成佳財停車場-慈濟醫院對面'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '中央路出入口'}, 'Position': {'PositionLat': 23.99458, 'PositionLon': 121.59331}, 'Type': 1, 'RoadID': '679112U', 'RoadName': '中央路', 'LinkID': '6791120100000U', 'Bearing': 'NE'}]"
A00018,{'Zh_tw': '彪吉利停場車(國民段469號)'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '停車場出入口'}, 'Position': {'PositionLat': 23.99566, 'PositionLon': 121.6041}, 'Type': 1, 'RoadID': '', 'RoadName': '國興一街', 'LinkID': '', 'Bearing': 'SW'}]"
A00040,{'Zh_tw': '花蓮文化創意產業園區停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '民國路出入口'}, 'Position': {'PositionLat': 23.97774, 'PositionLon': 121.6044}, 'Type': 1, 'RoadID': '679370U', 'RoadName': '民國路', 'LinkID': '6793700100010U', 'Bearing': 'NE'}, {'EntranceExitName': {'Zh_tw': '明義街出入口'}, 'Position': {'PositionLat': 23.97774, 'PositionLon': 121.6044}, 'Type': 1, 'RoadID': '', 'RoadName': '明義街', 'LinkID': '', 'Bearing': 'SE'}]"
A00013,{'Zh_tw': '明禮路停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '明禮路出入口'}, 'Position': {'PositionLat': 23.9787, 'PositionLon': 121.61098}, 'Type': 1, 'RoadID': '', 'RoadName': '明禮路', 'LinkID': '', 'Bearing': 'NW'}]"
A00007,{'Zh_tw': '花蓮航空站計時收費停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '機場右方汽車入口'}, 'Position': {'PositionLat': 24.02544, 'PositionLon': 121.61276}, 'Type': 2, 'RoadID': '', 'RoadName': '無名', 'LinkID': '', 'Bearing': 'SE'}]"
A00034,{'Zh_tw': '停好停滿停車場中華國小站'},2,"[{'EntranceName': {'Zh_tw': '國民八街入口'}, 'Position': {'PositionLat': 23.99363, 'PositionLon': 121.6068}, 'Type': 1, 'RoadID': '', 'RoadName': '國民八街', 'LinkID': '', 'Bearing': 'W'}]","[{'ExitName': {'Zh_tw': '國盛三街出口'}, 'Position': {'PositionLat': 23.99363, 'PositionLon': 121.6068}, 'Type': 1, 'RoadID': '', 'RoadName': '國盛三街', 'LinkID': '', 'Bearing': 'S'}]",[]
A00021,{'Zh_tw': '壽豐停1停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '壽豐車站北側高架'}, 'Position': {'PositionLat': 23.86902, 'PositionLon': 121.5106}, 'Type': 1, 'RoadID': '', 'RoadName': '無名', 'LinkID': '', 'Bearing': 'NE'}]"
A00029,{'Zh_tw': '多功能停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '富裕二街入口、出口'}, 'Position': {'PositionLat': 23.99344, 'PositionLon': 121.5994}, 'Type': 1, 'RoadID': '', 'RoadName': '富裕二街', 'LinkID': '', 'Bearing': 'SW'}]"
A00002,{'Zh_tw': '永發停車場-東洋站'},2,"[{'EntranceName': {'Zh_tw': '民國路入口'}, 'Position': {'PositionLat': 23.98041, 'PositionLon': 121.60822}, 'Type': 1, 'RoadID': '679370U', 'RoadName': '民國路', 'LinkID': '6793700100000U', 'Bearing': 'NE'}, {'EntranceName': {'Zh_tw': '復興街61號'}, 'Position': {'PositionLat': 23.97995, 'PositionLon': 121.60815}, 'Type': 1, 'RoadID': '', 'RoadName': '復興街', 'LinkID': '', 'Bearing': 'SE'}]","[{'ExitName': {'Zh_tw': '民國路159號'}, 'Position': {'PositionLat': 23.98045, 'PositionLon': 121.60818}, 'Type': 1, 'RoadID': '', 'RoadName': '民國路', 'LinkID': '', 'Bearing': 'NE'}]",[]
A00039,{'Zh_tw': '花蓮民德二停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '民權路出入口'}, 'Position': {'PositionLat': 23.98346, 'PositionLon': 121.62199}, 'Type': 1, 'RoadID': '', 'RoadName': '民權路', 'LinkID': '', 'Bearing': 'NE'}]"
A00047,{'Zh_tw': '168停車聯盟花蓮東大門場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '中山路出入口'}, 'Position': {'PositionLat': 23.97284, 'PositionLon': 121.6131}, 'Type': 1, 'RoadID': '', 'RoadName': '中山路', 'LinkID': '', 'Bearing': 'NW'}, {'EntranceExitName': {'Zh_tw': '北濱街出入口'}, 'Position': {'PositionLat': 23.97284, 'PositionLon': 121.6131}, 'Type': 1, 'RoadID': '', 'RoadName': '北濱街', 'LinkID': '', 'Bearing': 'NW'}, {'EntranceExitName': {'Zh_tw': '五權街出入口'}, 'Position': {'PositionLat': 23.97284, 'PositionLon': 121.6131}, 'Type': 1, 'RoadID': '', 'RoadName': '五權街', 'LinkID': '', 'Bearing': 'SE'}]"
A00026,{'Zh_tw': '前站停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '(前站)國聯一路'}, 'Position': {'PositionLat': 23.99347, 'PositionLon': 121.60331}, 'Type': 1, 'RoadID': '', 'RoadName': '國民八街', 'LinkID': '', 'Bearing': 'SE'}]"
A00028,{'Zh_tw': '遠雄海洋公園(股)公司'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '台11線上'}, 'Position': {'PositionLat': 23.84551, 'PositionLon': 121.5353}, 'Type': 1, 'RoadID': '', 'RoadName': '台11', 'LinkID': '', 'Bearing': 'S'}]"
A00030,{'Zh_tw': '吉安仁里立體停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '中正路出入口'}, 'Position': {'PositionLat': 23.96622, 'PositionLon': 121.59211}, 'Type': 1, 'RoadID': '', 'RoadName': '中正路', 'LinkID': '', 'Bearing': 'NE'}, {'EntranceExitName': {'Zh_tw': '東里一街出入口'}, 'Position': {'PositionLat': 23.96582, 'PositionLon': 121.59263}, 'Type': 1, 'RoadID': '', 'RoadName': '東里一街', 'LinkID': '', 'Bearing': 'NE'}]"
A00035,{'Zh_tw': '林森停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '林森路出入口'}, 'Position': {'PositionLat': 23.97747, 'PositionLon': 121.59945}, 'Type': 3, 'RoadID': '679689U', 'RoadName': '林森路', 'LinkID': '6796890500030U', 'Bearing': 'SW'}]"
A00049,{'Zh_tw': '花蓮市公園三民站'},2,"[{'EntranceName': {'Zh_tw': '公園路'}, 'Position': {'PositionLat': 23.97752, 'PositionLon': 121.6115}, 'Type': 3, 'RoadID': '679239U', 'RoadName': '公園路', 'LinkID': '6792390600000U', 'Bearing': 'SW'}]","[{'ExitName': {'Zh_tw': '三民街'}, 'Position': {'PositionLat': 23.97752, 'PositionLon': 121.6115}, 'Type': 3, 'RoadID': '', 'RoadName': '三民街', 'LinkID': '', 'Bearing': 'NW'}]",[]
A00038,{'Zh_tw': '花蓮民德一停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '民德四街出入口'}, 'Position': {'PositionLat': 23.98349, 'PositionLon': 121.62111}, 'Type': 1, 'RoadID': '', 'RoadName': '民德四街', 'LinkID': '', 'Bearing': 'SW'}]"
A00048,{'Zh_tw': '博客停車場寶雅吉安場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '博客停車場出入口'}, 'Position': {'PositionLat': 23.97269, 'PositionLon': 121.5797}, 'Type': 1, 'RoadID': '', 'RoadName': '中山路', 'LinkID': '', 'Bearing': 'SE'}]"
A00046,{'Zh_tw': '國盛四街停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '國盛四街出入口'}, 'Position': {'PositionLat': 23.9943, 'PositionLon': 121.6078}, 'Type': 1, 'RoadID': '', 'RoadName': '國盛四街', 'LinkID': '', 'Bearing': 'N'}]"
A00025,{'Zh_tw': '彪吉利停車場(國聯五路站)'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '停車場出入口'}, 'Position': {'PositionLat': 23.99233, 'PositionLon': 121.60512}, 'Type': 1, 'RoadID': '679924U', 'RoadName': '國聯五路', 'LinkID': '6799240000010U', 'Bearing': 'N'}]"
A00001,{'Zh_tw': '彪吉利(花蓮停三)汽(紅黃牌重機)車停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '國聯一路'}, 'Position': {'PositionLat': 23.99169, 'PositionLon': 121.6021}, 'Type': 1, 'RoadID': '', 'RoadName': '無名', 'LinkID': '', 'Bearing': 'NW'}]"
A00019,{'Zh_tw': '新康停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '富國十街'}, 'Position': {'PositionLat': 23.98872, 'PositionLon': 121.5965}, 'Type': 254, 'RoadID': '', 'RoadName': '國富十街', 'LinkID': '', 'Bearing': 'S'}]"
A00033,{'Zh_tw': '花蓮民生停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '南京街出入口'}, 'Position': {'PositionLat': 23.97531, 'PositionLon': 121.60735}, 'Type': 1, 'RoadID': '', 'RoadName': '南京街', 'LinkID': '', 'Bearing': 'SW'}]"
A00045,{'Zh_tw': '國富二十二街停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '國富二十二街出入口'}, 'Position': {'PositionLat': 23.9924, 'PositionLon': 121.5947}, 'Type': 1, 'RoadID': '', 'RoadName': '國富二十二街', 'LinkID': '', 'Bearing': 'SE'}]"
A00006,{'Zh_tw': '福廣明心停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '明心街出入口'}, 'Position': {'PositionLat': 23.98523, 'PositionLon': 121.6058}, 'Type': 1, 'MaxAllowedWidth': 250.0, 'RoadID': '', 'RoadName': '無名', 'LinkID': '', 'Bearing': 'NE'}]"
A00044,{'Zh_tw': '停好車停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '國興一街出入口'}, 'Position': {'PositionLat': 23.99418, 'PositionLon': 121.6035}, 'Type': 1, 'RoadID': '', 'RoadName': '國興一街', 'LinkID': '', 'Bearing': 'NE'}]"
A00036,{'Zh_tw': '統冠重慶店停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '統冠超市', 'En': '統冠超市'}, 'Position': {'PositionLat': 23.97324, 'PositionLon': 121.6103}, 'Type': 254, 'MaxAllowedWidth': 300.0, 'MaxAllowedHeight': 0.0, 'MaxAllowedWeight': 0.0, 'RoadID': '', 'RoadName': '重慶路', 'LinkID': '', 'Bearing': 'SW'}]"
A00015,{'Zh_tw': 'WORLD GYM世界健身俱樂部停車場'},2,"[{'EntranceName': {'Zh_tw': '國盛一街入口'}, 'Position': {'PositionLat': 23.99201, 'PositionLon': 121.60607}, 'Type': 3, 'RoadID': '', 'RoadName': '國盛一街', 'LinkID': '', 'Bearing': 'N'}]","[{'ExitName': {'Zh_tw': '國盛二街出口'}, 'Position': {'PositionLat': 23.99172, 'PositionLon': 121.606}, 'Type': 3, 'RoadID': '', 'RoadName': '國盛二街', 'LinkID': '', 'Bearing': 'S'}]",[]
A00003,{'Zh_tw': '丞捷停車場 '},1,[],[],"[{'EntranceExitName': {'Zh_tw': '國富十四街'}, 'Position': {'PositionLat': 23.99161, 'PositionLon': 121.59574}, 'Type': 2, 'RoadID': '', 'RoadName': '國富十四街', 'LinkID': '', 'Bearing': 'SE'}]"
A00005,{'Zh_tw': '福廣仁愛停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '仁愛街出入口'}, 'Position': {'PositionLat': 23.97813, 'PositionLon': 121.60225}, 'Type': 1, 'RoadID': '', 'RoadName': '仁愛街', 'LinkID': '', 'Bearing': 'SE'}]"
A00043,{'Zh_tw': '中山明智停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '明智街出入口'}, 'Position': {'PositionLat': 23.9847, 'PositionLon': 121.6035}, 'Type': 1, 'RoadID': '', 'RoadName': '明智街', 'LinkID': '', 'Bearing': 'SW'}]"
A00014,{'Zh_tw': '永發停車三民站'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '三民街出入口'}, 'Position': {'PositionLat': 23.9785, 'PositionLon': 121.61016}, 'Type': 3, 'RoadID': '', 'RoadName': '三民街', 'LinkID': '', 'Bearing': 'SE'}]"
A00011,{'Zh_tw': '新港街停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '新港街出入口'}, 'Position': {'PositionLat': 23.97976, 'PositionLon': 121.60614}, 'Type': 3, 'RoadID': '', 'RoadName': '新港街', 'LinkID': '', 'Bearing': 'SE'}]"
A00022,{'Zh_tw': '佛教慈濟醫療財團法人花蓮慈濟醫院停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '中央路出入口'}, 'Position': {'PositionLat': 23.99535, 'PositionLon': 121.5931}, 'Type': 1, 'RoadID': '', 'RoadName': '中央路', 'LinkID': '', 'Bearing': 'W'}]"
A00016,{'Zh_tw': 'P&P停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '福町路上'}, 'Position': {'PositionLat': 23.97546, 'PositionLon': 121.6096}, 'Type': 1, 'MaxAllowedWidth': 400.0, 'MaxAllowedHeight': 500.0, 'MaxAllowedWeight': 3.0, 'RoadID': '680158U', 'RoadName': '福町路', 'LinkID': '6801580700000U', 'Bearing': 'NW'}]"
A00042,{'Zh_tw': '臺灣基督教門諾會醫療財團法人門諾醫院收費停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '民權九街出熱口'}, 'Position': {'PositionLat': 23.98826, 'PositionLon': 121.6272}, 'Type': 1, 'RoadID': '', 'RoadName': '民權九街', 'LinkID': '', 'Bearing': 'SW'}]"
A00012,{'Zh_tw': '節約街停車場'},1,[],[],"[{'EntranceExitName': {'Zh_tw': '節約街出入口'}, 'Position': {'PositionLat': 23.98, 'PositionLon': 121.60965}, 'Type': 1, 'RoadID': '', 'RoadName': '節約街', 'LinkID': '', 'Bearing': 'NE'}]"
A00010,{'Zh_tw': '花蓮市忠孝立體停車場'},2,"[{'EntranceName': {'Zh_tw': '忠孝街入口'}, 'Position': {'PositionLat': 23.97398, 'PositionLon': 121.60644}, 'Type': 2, 'RoadID': '', 'RoadName': '忠孝街', 'LinkID': '', 'Bearing': 'SE'}]","[{'ExitName': {'Zh_tw': '成功街出口'}, 'Position': {'PositionLat': 23.97372, 'PositionLon': 121.60648}, 'Type': 2, 'RoadID': '', 'RoadName': '成功街', 'LinkID': '', 'Bearing': 'SW'}]",[]
A00004,{'Zh_tw': '後火車站機車停車場'},2,"[{'EntranceName': {'Zh_tw': '入口'}, 'Position': {'PositionLat': 23.99364, 'PositionLon': 121.59956}, 'Type': 1, 'RoadID': '', 'RoadName': '無名', 'LinkID': '', 'Bearing': 'SE'}]",[],[]
